===== FORGET GATE =====
      0        1        2        3        4        5        6        7        8        9        10       11       12       13       14       15       16       17       18       19       20       21       22       23       24       25       26       27       28       29       30       31       32       33       34       35       36       37       38       39       40       41       42       43       44       45       46       47       48       49
0.571965 0.543370 0.495335 0.490217 0.448749 0.524543 0.456079 0.445014 0.503937 0.573556 0.601698 0.494547 0.532055 0.511042 0.493525 0.636463 0.465427 0.547963 0.477353 0.946172 0.519705 0.556891 0.472021 0.558611 0.557318 0.481219 0.516200 0.545214 0.542916 0.515219 0.476466 0.530773 0.473565 0.512430 0.479696 0.440430 0.529537 0.570454 0.525101 0.518021 0.453565 0.642808 0.485060 0.519951 0.566355 0.501326 0.487258 0.438863 0.488184 0.565911
0.571103 0.542951 0.495630 0.489905 0.449364 0.524093 0.455814 0.445011 0.503535 0.572854 0.601646 0.494476 0.531290 0.511177 0.493413 0.635406 0.465984 0.547852 0.477485 0.945684 0.519829 0.556227 0.471773 0.558496 0.556091 0.481513 0.516132 0.544904 0.542526 0.515612 0.476810 0.530066 0.473884 0.512158 0.480036 0.441075 0.529051 0.569505 0.524723 0.517614 0.454056 0.641868 0.485079 0.519849 0.565570 0.501311 0.487116 0.439221 0.488389 0.565246
0.570817 0.543287 0.495551 0.490784 0.448516 0.523910 0.456800 0.444353 0.503451 0.572633 0.600629 0.494660 0.531644 0.511254 0.493593 0.634559 0.465486 0.546707 0.477695 0.945002 0.518989 0.556491 0.472775 0.558349 0.556039 0.481344 0.516252 0.544808 0.542593 0.515260 0.476962 0.530322 0.473695 0.512208 0.479712 0.440868 0.529184 0.568047 0.524931 0.517324 0.453832 0.641674 0.485198 0.520005 0.566164 0.501936 0.487417 0.439359 0.488340 0.565210
0.571508 0.543953 0.495224 0.491503 0.447323 0.524288 0.457753 0.443803 0.503758 0.573166 0.600067 0.495032 0.532699 0.511328 0.493881 0.635049 0.464680 0.546100 0.477745 0.945160 0.518503 0.557232 0.473721 0.558469 0.557329 0.481020 0.516437 0.545098 0.543140 0.514778 0.476724 0.531232 0.473410 0.512375 0.479086 0.440191 0.529877 0.568230 0.525491 0.517543 0.453262 0.642725 0.485454 0.520230 0.567355 0.502344 0.487824 0.439098 0.488091 0.565918
0.571663 0.543547 0.495225 0.490565 0.448196 0.524502 0.457011 0.444516 0.503919 0.573171 0.600830 0.495048 0.532353 0.511368 0.493827 0.635559 0.465243 0.547260 0.477566 0.945629 0.519418 0.556770 0.472872 0.558570 0.557477 0.481237 0.516264 0.545133 0.543125 0.515148 0.476615 0.530910 0.473836 0.512255 0.479370 0.440621 0.529801 0.569802 0.525380 0.517782 0.453671 0.642775 0.485634 0.520038 0.566639 0.501787 0.487687 0.439106 0.488176 0.565965
0.571197 0.543045 0.495408 0.490050 0.449020 0.524241 0.456322 0.444879 0.503781 0.572859 0.601266 0.494760 0.531610 0.511334 0.493623 0.635307 0.465753 0.547820 0.477482 0.945612 0.519795 0.556275 0.472156 0.558508 0.556663 0.481368 0.516085 0.544939 0.542762 0.515483 0.476738 0.530229 0.474024 0.512207 0.479827 0.441072 0.529327 0.569790 0.525045 0.517628 0.454025 0.642103 0.485451 0.519830 0.565808 0.501532 0.487412 0.439240 0.488350 0.565529
0.570852 0.543112 0.495436 0.490532 0.448723 0.523992 0.456671 0.444541 0.503658 0.572653 0.600788 0.494690 0.531556 0.511318 0.493627 0.634702 0.465568 0.547211 0.477580 0.945175 0.519270 0.556351 0.472549 0.558380 0.556266 0.481278 0.516116 0.544827 0.542632 0.515328 0.476876 0.530153 0.473858 0.512277 0.479795 0.441022 0.529194 0.568679 0.525026 0.517371 0.453946 0.641703 0.485366 0.519877 0.565941 0.501868 0.487464 0.439343 0.488370 0.565331
0.570029 0.542667 0.495512 0.490394 0.449364 0.523707 0.456780 0.445010 0.503527 0.571733 0.600261 0.494757 0.530915 0.511320 0.493683 0.633322 0.466109 0.547088 0.477691 0.944190 0.519216 0.555605 0.472571 0.558021 0.555368 0.481637 0.515973 0.544473 0.542228 0.515421 0.477212 0.529507 0.474318 0.512099 0.480084 0.441810 0.528732 0.568039 0.524763 0.517052 0.454662 0.640283 0.485675 0.519778 0.565043 0.501885 0.487528 0.439923 0.488602 0.564735
0.569712 0.542822 0.495368 0.491122 0.448895 0.523600 0.457656 0.444888 0.503574 0.571327 0.599215 0.494912 0.531109 0.511255 0.493875 0.632346 0.465817 0.546244 0.477844 0.943269 0.518478 0.555657 0.473404 0.557713 0.555312 0.481599 0.515997 0.544311 0.542167 0.515009 0.477371 0.529607 0.474289 0.512185 0.479894 0.441830 0.528729 0.567007 0.524900 0.516849 0.454710 0.639621 0.485879 0.519872 0.565263 0.502350 0.487821 0.440223 0.488627 0.564614
0.569213 0.542492 0.495310 0.491032 0.449413 0.523534 0.457904 0.445536 0.503636 0.570593 0.598645 0.495060 0.530757 0.511190 0.493997 0.631292 0.466216 0.546254 0.477914 0.942358 0.518451 0.555069 0.473518 0.557353 0.554935 0.481904 0.515856 0.544042 0.541904 0.514949 0.477582 0.529206 0.474741 0.512087 0.480062 0.442469 0.528459 0.566931 0.524785 0.516733 0.455343 0.638451 0.486260 0.519789 0.564567 0.502329 0.487972 0.440744 0.488811 0.564254
0.568886 0.542393 0.495224 0.491308 0.449498 0.523461 0.458321 0.445857 0.503704 0.570136 0.597988 0.495118 0.530665 0.511070 0.494091 0.630489 0.466254 0.545976 0.477989 0.941572 0.518121 0.554861 0.473854 0.557042 0.554742 0.481995 0.515788 0.543844 0.541724 0.514718 0.477724 0.529051 0.474889 0.512131 0.480090 0.442723 0.528306 0.566519 0.524772 0.516633 0.455617 0.637612 0.486427 0.519770 0.564336 0.502494 0.488119 0.441087 0.488915 0.564028
0.569781 0.543225 0.494884 0.492299 0.448098 0.523866 0.459291 0.445266 0.504032 0.570913 0.597426 0.495332 0.531890 0.510978 0.494301 0.631270 0.465210 0.545242 0.478025 0.941843 0.517390 0.555916 0.474877 0.557150 0.556163 0.481551 0.516032 0.544193 0.542266 0.514053 0.477409 0.530146 0.474332 0.512456 0.479405 0.441726 0.529030 0.566587 0.525343 0.516950 0.454795 0.638809 0.486424 0.520047 0.565826 0.502958 0.488453 0.440699 0.488624 0.564804
0.571507 0.544035 0.494588 0.492336 0.447095 0.524682 0.459246 0.444891 0.504492 0.572483 0.598282 0.495493 0.533225 0.510969 0.494358 0.633783 0.464384 0.545756 0.477814 0.943594 0.517714 0.557101 0.474920 0.557740 0.558304 0.481119 0.516285 0.544911 0.543121 0.513817 0.476732 0.531440 0.473809 0.512711 0.478785 0.440521 0.530032 0.568687 0.525925 0.517749 0.453797 0.641355 0.486297 0.520256 0.567317 0.502769 0.488513 0.439796 0.488217 0.566072
