Date,Close
9/11/2020,1240
10/11/2020,1200
11/11/2020,1195
12/11/2020,1170
13/11/2020,1170
16/11/2020,1185
17/11/2020,1190
18/11/2020,1240
19/11/2020,1235
20/11/2020,1210
23/11/2020,1255
24/11/2020,1235
25/11/2020,1205
26/11/2020,1210
27/11/2020,1230
30/11/2020,1145
1/12/2020,1155
2/12/2020,1245
3/12/2020,1255
4/12/2020,1245
7/12/2020,1280
8/12/2020,1300
10/12/2020,1395
11/12/2020,1450
14/12/2020,1525
15/12/2020,1560
16/12/2020,1815
17/12/2020,1815
18/12/2020,1950
21/12/2020,1965
22/12/2020,1835
23/12/2020,1790
28/12/2020,2000
29/12/2020,1945
30/12/2020,1935
4/1/2021,2190
5/1/2021,2230
6/1/2021,2220
7/1/2021,2600
8/1/2021,2600
11/1/2021,2580
12/1/2021,2770
13/01/2021,3120
14/01/2021,3180
15/01/2021,3120
18/01/2021,2910
19/01/2021,2710
20/01/2021,3190
21/01/2021,3090
22/01/2021,2880
25/01/2021,2870
26/01/2021,2670
27/01/2021,2550
28/01/2021,2380
29/01/2021,2220
1/2/2021,2600
2/2/2021,2420
3/2/2021,2330
4/2/2021,2400
5/2/2021,2660
8/2/2021,2830
9/2/2021,2730
10/2/2021,2930
11/2/2021,2870
15/02/2021,2900
16/02/2021,2870
17/02/2021,2750
18/02/2021,2780
19/02/2021,2880
22/02/2021,2950
23/02/2021,2940
24/02/2021,2910
25/02/2021,2960
26/02/2021,2840
1/3/2021,2840
2/3/2021,2730
3/3/2021,2700
4/3/2021,2520
5/3/2021,2420
8/3/2021,2280
9/3/2021,2230
10/3/2021,2230
12/3/2021,2420
15/03/2021,2340
16/03/2021,2270
17/03/2021,2300
18/03/2021,2290
19/03/2021,2250
22/03/2021,2260
23/03/2021,2270
24/03/2021,2170
25/03/2021,2180
26/03/2021,2430
29/03/2021,2260
30/03/2021,2210
31/03/2021,2250
1/4/2021,2240
5/4/2021,2200
6/4/2021,2330
7/4/2021,2360
8/4/2021,2470
9/4/2021,2340
12/4/2021,2250
13/04/2021,2270
14/04/2021,2330
15/04/2021,2320
16/04/2021,2390
19/04/2021,2340
20/04/2021,2350
21/04/2021,2370
22/04/2021,2350
23/04/2021,2320
26/04/2021,2390
27/04/2021,2390
28/04/2021,2430
29/04/2021,2510
30/04/2021,2490
3/5/2021,2520
4/5/2021,2620
5/5/2021,2630
6/5/2021,2620
7/5/2021,2620
10/5/2021,2680
11/5/2021,2670
17/05/2021,2510
18/05/2021,2600
19/05/2021,2550
20/05/2021,2420
21/05/2021,2330
24/05/2021,2270
25/05/2021,2330
27/05/2021,2390
28/05/2021,2460
31/05/2021,2450
2/6/2021,2550
3/6/2021,2520
4/6/2021,2430
7/6/2021,2380
8/6/2021,2350
9/6/2021,2460
10/6/2021,2420
11/6/2021,2480
14/06/2021,2410
15/06/2021,2360
16/06/2021,2320
17/06/2021,2330
18/06/2021,2230
21/06/2021,2200
22/06/2021,2260
23/06/2021,2250
24/06/2021,2250
25/06/2021,2300
28/06/2021,2240
29/06/2021,2220
30/06/2021,2300
1/7/2021,2230
2/7/2021,2220
5/7/2021,2240
6/7/2021,2480
7/7/2021,2460
8/7/2021,2550
9/7/2021,2590
12/7/2021,2550
13/07/2021,2540
14/07/2021,2590
15/07/2021,2610
16/07/2021,2620
19/07/2021,2640
21/07/2021,2560
22/07/2021,2570
23/07/2021,2620
26/07/2021,2630
27/07/2021,2530
28/07/2021,2520
29/07/2021,2590
30/07/2021,2520
2/8/2021,2510
3/8/2021,2470
4/8/2021,2420
5/8/2021,2370
6/8/2021,2330
9/8/2021,2260
10/8/2021,2340
12/8/2021,2400
