Date,Close,,,,,
5/1/2021,6425,,,,,
6/1/2021,6425,,,,,
7/1/2021,6475,,,,,
8/1/2021,6550,,,,,
11/1/2021,6850,,,,,
12/1/2021,6950,,,,,
13/01/2021,6925,,,,,
14/01/2021,6850,,,,,
15/01/2021,6725,,,,,
18/01/2021,6925,,,,,
19/01/2021,6975,,,,,
20/01/2021,7375,,,,,
21/01/2021,7250,,,,,
22/01/2021,7200,,,,,
25/01/2021,7300,,,,,
26/01/2021,7375,,,,,
27/01/2021,7300,,,,,
28/01/2021,7050,,,,,
29/01/2021,6575,,,,,
1/2/2021,6700,,,,,
2/2/2021,6475,,,,,
3/2/2021,6500,,,,,
4/2/2021,6575,,,,,
5/2/2021,6550,,,,,
8/2/2021,6575,,,,,
9/2/2021,6500,,,,,
10/2/2021,6500,,,,,
11/2/2021,6500,,,,,
15/02/2021,6500,,,,,
16/02/2021,6475,,,,,
17/02/2021,6350,,,,,
18/02/2021,6250,,,,,
19/02/2021,6375,,,,,
22/02/2021,6375,,,,,
23/02/2021,6325,,,,,
24/02/2021,6375,,,,,
25/02/2021,6275,,,,,
26/02/2021,6150,,,,,
1/3/2021,6575,,,,,
2/3/2021,6600,,,,,
3/3/2021,6600,,,,,
4/3/2021,6550,,,,,
5/3/2021,6475,,,,,
8/3/2021,6425,,,,,
9/3/2021,3213,,,,,
10/3/2021,3250,,,,,
12/3/2021,3363,,,,,
15/03/2021,3325,,,,,
16/03/2021,3275,,,,,
17/03/2021,3263,,,,,
18/03/2021,3400,,,,,
19/03/2021,3388,,,,,
22/03/2021,3313,,,,,
23/03/2021,3338,,,,,
24/03/2021,3213,,,,,
25/03/2021,3200,,,,,
26/03/2021,3213,,,,,
29/03/2021,3188,,,,,
30/03/2021,3163,,,,,
31/03/2021,3075,,,,,
1/4/2021,3100,,,,,
5/4/2021,3113,,,,,
6/4/2021,3138,,,,,
7/4/2021,3163,,,,,
8/4/2021,3138,,,,,
9/4/2021,3238,,,,,
12/4/2021,3150,,,,,
13/04/2021,3150,,,,,
14/04/2021,3163,,,,,
15/04/2021,3150,,,,,
16/04/2021,3150,,,,,
19/04/2021,3113,,,,,
20/04/2021,3100,,,,,
21/04/2021,3063,,,,,
22/04/2021,3063,,,,,
23/04/2021,3075,,,,,
26/04/2021,2988,,,,,
27/04/2021,3025,,,,,
28/04/2021,3100,,,,,
29/04/2021,3113,,,,,
30/04/2021,3088,,,,,
3/5/2021,3025,,,,,
4/5/2021,3050,,,,,
5/5/2021,3025,,,,,
6/5/2021,3038,,,,,
7/5/2021,2975,,,,,
10/5/2021,2988,,,,,
11/5/2021,2950,,,,,
17/05/2021,2963,,,,,
18/05/2021,2950,,,,,
19/05/2021,2838,,,,,
20/05/2021,2825,,,,,
21/05/2021,2913,,,,,
24/05/2021,2875,,,,,
25/05/2021,2950,,,,,
27/05/2021,2875,,,,,
28/05/2021,2900,,,,,
31/05/2021,3000,,,,,
2/6/2021,3050,,,,,
3/6/2021,3125,,,,,
4/6/2021,3063,,,,,
7/6/2021,3063,,,,,
8/6/2021,3000,,,,,
9/6/2021,3075,,,,,
10/6/2021,3100,,,,,
11/6/2021,3138,,,,,
14/06/2021,3138,,,,,
15/06/2021,3163,,,,,
16/06/2021,3138,,,,,
17/06/2021,3100,,,,,
18/06/2021,3100,,,,,
21/06/2021,3013,,,,,
22/06/2021,3088,,,,,
23/06/2021,3013,,,,,
24/06/2021,2988,,,,,
25/06/2021,2950,,,,,
28/06/2021,2850,,,,,
29/06/2021,2888,,,,,
30/06/2021,2950,,,,,
1/7/2021,2988,,,,,
2/7/2021,2975,,,,,
5/7/2021,2925,,,,,
6/7/2021,2888,,,,,
7/7/2021,2875,,,,,
8/7/2021,2950,,,,,
9/7/2021,2888,,,,,
12/7/2021,2900,,,,,
13/07/2021,2888,,,,,
14/07/2021,2850,,,,,
15/07/2021,2938,,,,,
16/07/2021,2938,,,,,
19/07/2021,2875,,,,,
21/07/2021,2963,,,,,
22/07/2021,3025,,,,,
23/07/2021,2988,,,,,
26/07/2021,2900,,,,,
27/07/2021,2913,,,,,
28/07/2021,2950,,,,,
29/07/2021,2875,,,,,
30/07/2021,2850,,,,,
2/8/2021,2838,,,,,
3/8/2021,2888,,,,,
4/8/2021,2913,,,,,
5/8/2021,3025,,,,,
6/8/2021,2988,,,,,
9/8/2021,2900,,,,,
10/8/2021,2900,,,,,
12/8/2021,2963,,,,,
13/08/2021,3000,,,,,
16/08/2021,2988,,,,,
18/08/2021,3025,,,,,
19/08/2021,2925,,,,,
20/08/2021,2950,,,,,
23/08/2021,2988,,,,,
24/08/2021,2913,,,,,
25/08/2021,2975,,,,,
26/08/2021,2913,,,,,
27/08/2021,2900,,,,,
30/08/2021,2975,,,,,
31/08/2021,3050,,,,,
1/9/2021,3000,,,,,
2/9/2021,3025,,,,,
3/9/2021,3063,,,,,
6/9/2021,3100,,,,,
7/9/2021,3125,,,,,
8/9/2021,3125,,,,,
9/9/2021,3175,,,,,
10/9/2021,3100,,,,,
13/09/2021,3075,,,,,
14/09/2021,3050,,,,,
15/09/2021,3063,,,,,
16/09/2021,3075,,,,,
17/09/2021,3025,,,,,
20/09/2021,3013,,,,,
21/09/2021,2988,,,,,
22/09/2021,3038,,,,,
23/09/2021,3038,,,,,
24/09/2021,2988,,,,,
27/09/2021,2950,,,,,
28/09/2021,2975,,,,,
29/09/2021,3000,,,,,
30/09/2021,3075,,,,,
1/10/2021,3050,,,,,
4/10/2021,3238,,,,,
5/10/2021,3213,,,,,
6/10/2021,3300,,,,,
7/10/2021,3350,,,,,
8/10/2021,3450,,,,,
11/10/2021,3450,,,,,
12/10/2021,3500,,,,,
13/10/2021,3550,,,,,
14/10/2021,3588,,,,,
15/10/2021,3575,,,,,
18/10/2021,3588,,,,,
19/10/2021,3600,,,,,
21/10/2021,3588,,,,,
22/10/2021,3600,,,,,
25/10/2021,3563,,,,,
26/10/2021,3588,,,,,
27/10/2021,3575,,,,,
28/10/2021,3513,,,,,
29/10/2021,3588,,,,,
1/11/2021,3588,,,,,
2/11/2021,3513,,,,,
3/11/2021,3563,,,,,
4/11/2021,3588,,,,,
5/11/2021,3550,,,,,
8/11/2021,3500,,,,,
9/11/2021,3438,,,,,
10/11/2021,3575,,,,,
11/11/2021,3613,,,,,
12/11/2021,3550,,,,,
15/11/2021,3525,,,,,
16/11/2021,3613,,,,,
17/11/2021,3613,,,,,
18/11/2021,3588,,,,,
19/11/2021,3625,,,,,
22/11/2021,3675,,,,,
23/11/2021,3575,,,,,
24/11/2021,3575,,,,,
25/11/2021,3675,,,,,
26/11/2021,3550,,,,,
29/11/2021,3588,,,,,
30/11/2021,3500,,,,,
1/12/2021,3538,,,,,
2/12/2021,3600,,,,,
3/12/2021,3575,,,,,
6/12/2021,3588,,,,,
7/12/2021,3650,,,,,
8/12/2021,3575,,,,,
9/12/2021,3675,,,,,
10/12/2021,3600,,,,,
13/12/2021,3563,,,,,
14/12/2021,3588,,,,,
15/12/2021,3638,,,,,
16/12/2021,3625,,,,,
17/12/2021,3575,,,,,
20/12/2021,3538,,,,,
21/12/2021,3575,,,,,
22/12/2021,3525,,,,,
23/12/2021,3538,,,,,
24/12/2021,3525,,,,,
27/12/2021,3500,,,,,
28/12/2021,3525,,,,,
29/12/2021,3550,,,,,
30/12/2021,3513,,,,,
3/1/2022,3525,,,,,
4/1/2022,3588,,,,,
5/1/2022,3513,,,,,
6/1/2022,3513,,,,,
7/1/2022,3525,,,,,
10/1/2022,3525,,,,,
